log_id,User ID,Timestamp,Channel,Campaign
LOG_000077,94174,2025-02-10 21:36:11,Display Ads,Brand Awareness
LOG_000078,72741,2025-02-11 13:15:16,Display Ads,Organic_Direct
LOG_000079,17708,2025-02-10 14:13:41,Direct Traffic,Organic_Direct
LOG_000080,67722,2025-02-10 19:28:49,Display Ads,Brand Awareness
LOG_000081,90253,2025-02-11 12:06:26,Direct Traffic,Organic_Direct
LOG_000082,16311,2025-02-11 22:17:28,Social Media,Organic_Direct
LOG_000083,32391,2025-02-11 11:41:06,Search Ads,Organic_Direct
LOG_000084,73105,2025-02-11 11:11:30,Display Ads,Organic_Direct
LOG_000085,79941,2025-02-11 15:18:29,Email,Brand Awareness
LOG_000086,96015,2025-02-10 07:40:35,Search Ads,Brand Awareness
LOG_000087,54874,2025-02-10 20:07:19,Search Ads,Retargeting
LOG_000088,37162,2025-02-11 23:24:13,Direct Traffic,Organic_Direct
LOG_000089,58969,2025-02-10 20:31:07,Display Ads,Brand Awareness
LOG_000090,67211,2025-02-11 05:41:12,Search Ads,New Product Launch
LOG_000091,81847,2025-02-11 01:51:08,Social Media,Brand Awareness
LOG_000092,90088,2025-02-10 03:51:17,Social Media,New Product Launch
LOG_000093,95590,2025-02-11 15:21:59,Referral,Discount Offer
LOG_000094,21995,2025-02-11 05:24:48,Direct Traffic,Organic_Direct
LOG_000095,30155,2025-02-10 21:55:41,Social Media,Organic_Direct
LOG_000096,85049,2025-02-11 04:51:15,Social Media,Retargeting
LOG_000097,67211,2025-02-11 12:24:54,Social Media,Winter Sale
LOG_000098,83035,2025-02-11 02:33:02,Email,Winter Sale
LOG_000099,73105,2025-02-11 17:13:10,Display Ads,Organic_Direct
LOG_000100,63337,2025-02-11 22:03:57,Search Ads,New Product Launch
LOG_000101,26185,2025-02-11 16:40:38,Social Media,Winter Sale
LOG_000102,58797,2025-02-10 20:15:39,Social Media,Organic_Direct
LOG_000103,67935,2025-02-10 22:15:53,Display Ads,Winter Sale
LOG_000104,81888,2025-02-11 00:28:45,Email,Retargeting
LOG_000105,42030,2025-02-11 06:17:27,Search Ads,New Product Launch
LOG_000106,94486,2025-02-11 11:12:15,Social Media,Retargeting
LOG_000107,55829,2025-02-11 04:46:30,Social Media,Retargeting
LOG_000108,50840,2025-02-10 17:42:31,Display Ads,Discount Offer
LOG_000109,76871,2025-02-10 09:24:50,Direct Traffic,Organic_Direct
LOG_000110,25845,2025-02-10 00:34:48,Referral,Retargeting
LOG_000111,32160,2025-02-11 07:51:34,Referral,Discount Offer
LOG_000112,43175,2025-02-11 22:13:55,Email,Discount Offer
LOG_000113,83965,2025-02-10 12:36:10,Direct Traffic,Organic_Direct
LOG_000114,47781,2025-02-10 03:03:53,Direct Traffic,Organic_Direct
LOG_000115,45812,2025-02-11 06:37:42,Display Ads,Retargeting
LOG_000116,45622,2025-02-11 18:43:58,Social Media,New Product Launch
LOG_000117,55079,2025-02-11 21:05:09,Direct Traffic,Organic_Direct
LOG_000118,60226,2025-02-10 06:16:24,Search Ads,New Product Launch
LOG_000119,52130,2025-02-11 19:13:03,Direct Traffic,Organic_Direct
LOG_000120,96142,2025-02-10 21:25:45,Search Ads,Brand Awareness
LOG_000121,69602,2025-02-10 20:33:09,Referral,Retargeting
LOG_000122,61352,2025-02-10 12:07:40,Social Media,Retargeting
LOG_000123,93270,2025-02-10 00:19:27,Email,Discount Offer
LOG_000124,35887,2025-02-10 14:37:34,Social Media,Discount Offer
LOG_000125,74629,2025-02-10 05:43:18,Direct Traffic,Organic_Direct
LOG_000126,37380,2025-02-10 07:38:08,Display Ads,Brand Awareness
LOG_000127,10698,2025-02-10 02:15:56,Referral,New Product Launch
LOG_000128,67893,2025-02-11 23:59:58,Search Ads,New Product Launch
LOG_000129,78241,2025-02-11 02:04:10,Display Ads,New Product Launch
LOG_000130,88708,2025-02-10 01:52:09,Display Ads,New Product Launch
LOG_000131,18572,2025-02-11 12:59:06,Direct Traffic,Organic_Direct
LOG_000132,43361,2025-02-10 00:16:55,Search Ads,Winter Sale
LOG_000133,67809,2025-02-11 09:45:56,Referral,Retargeting
LOG_000134,18348,2025-02-10 09:50:09,Display Ads,Winter Sale
LOG_000135,64907,2025-02-10 14:12:25,Email,Discount Offer
LOG_000136,28998,2025-02-11 23:06:24,Email,Brand Awareness
LOG_000137,55631,2025-02-11 19:24:42,Search Ads,New Product Launch
LOG_000138,14398,2025-02-10 12:08:30,Direct Traffic,Organic_Direct
LOG_000139,73835,2025-02-10 02:57:28,Direct Traffic,Organic_Direct
LOG_000140,38175,2025-02-11 10:40:09,Social Media,Discount Offer
LOG_000141,38857,2025-02-10 20:17:57,Search Ads,Retargeting
LOG_000142,23279,2025-02-11 20:11:11,Email,Retargeting
LOG_000143,82446,2025-02-11 02:49:44,Social Media,Brand Awareness
LOG_000144,73029,2025-02-10 10:16:48,Email,Organic_Direct
LOG_000145,64228,2025-02-10 14:34:15,Email,Retargeting
LOG_000146,87642,2025-02-10 11:20:03,Search Ads,Discount Offer
LOG_000147,11780,2025-02-10 15:07:44,Display Ads,Brand Awareness
LOG_000148,30429,2025-02-11 02:34:06,Display Ads,Organic_Direct
LOG_000149,11209,2025-02-10 22:14:31,Email,Winter Sale
LOG_000150,51437,2025-02-10 22:29:41,Referral,Winter Sale
LOG_000151,90848,2025-02-10 01:12:15,Referral,Retargeting
LOG_000152,49394,2025-02-11 16:46:43,Email,Winter Sale
LOG_000153,57108,2025-02-10 00:57:00,Direct Traffic,Organic_Direct
LOG_000154,83035,2025-02-11 21:18:22,Email,Discount Offer
LOG_000155,50295,2025-02-10 01:04:56,Social Media,Discount Offer
LOG_000156,28194,2025-02-10 11:40:24,Social Media,Brand Awareness
LOG_000157,40130,2025-02-11 01:58:44,Referral,Winter Sale
LOG_000158,17879,2025-02-11 23:08:01,Referral,Retargeting
LOG_000159,80960,2025-02-11 22:36:11,Search Ads,Retargeting
LOG_000160,49913,2025-02-10 18:37:47,Email,Discount Offer
LOG_000161,15418,2025-02-11 02:57:36,Email,New Product Launch
LOG_000162,60973,2025-02-10 05:22:22,Referral,New Product Launch
LOG_000163,22755,2025-02-10 09:50:14,Social Media,Organic_Direct
LOG_000164,34938,2025-02-10 02:32:43,Direct Traffic,Organic_Direct
LOG_000165,30521,2025-02-10 00:01:45,Display Ads,Discount Offer
LOG_000166,78560,2025-02-10 09:46:43,Referral,Retargeting
LOG_000167,42806,2025-02-11 05:45:28,Social Media,Winter Sale
LOG_000168,54089,2025-02-10 21:42:44,Direct Traffic,Organic_Direct
LOG_000169,35337,2025-02-10 16:30:10,Direct Traffic,Organic_Direct
LOG_000170,28289,2025-02-10 22:34:54,Search Ads,New Product Launch
LOG_000171,25172,2025-02-11 08:13:42,Referral,Brand Awareness
LOG_000172,98219,2025-02-10 06:57:56,Search Ads,Retargeting
LOG_000173,49456,2025-02-11 11:01:05,Referral,Organic_Direct
LOG_000174,70378,2025-02-10 02:11:44,Email,Winter Sale
LOG_000175,96740,2025-02-10 08:23:54,Display Ads,Winter Sale
LOG_000176,97780,2025-02-11 19:48:44,Display Ads,Organic_Direct
LOG_000177,72645,2025-02-10 09:04:41,Social Media,Organic_Direct
LOG_000178,28589,2025-02-11 14:22:26,Search Ads,Organic_Direct
LOG_000179,44303,2025-02-11 09:45:49,Social Media,Discount Offer
LOG_000180,42970,2025-02-11 10:51:02,Referral,Brand Awareness
LOG_000181,52689,2025-02-10 01:20:30,Referral,New Product Launch
LOG_000182,83355,2025-02-10 15:11:30,Direct Traffic,Organic_Direct
LOG_000183,56050,2025-02-10 11:50:21,Display Ads,Brand Awareness
LOG_000184,71027,2025-02-11 06:13:15,Display Ads,New Product Launch
LOG_000185,62697,2025-02-10 08:05:53,Email,New Product Launch
LOG_000186,86014,2025-02-11 18:37:28,Referral,New Product Launch
LOG_000187,57669,2025-02-10 05:31:09,Email,Brand Awareness
LOG_000188,28047,2025-02-11 07:21:30,Email,Discount Offer
LOG_000189,35598,2025-02-11 17:32:44,Display Ads,Winter Sale
LOG_000190,68838,2025-02-10 20:10:18,Email,Organic_Direct
LOG_000191,46506,2025-02-10 02:12:43,Display Ads,New Product Launch
LOG_000192,56855,2025-02-11 20:48:52,Email,Winter Sale
LOG_000193,28385,2025-02-11 13:26:47,Display Ads,Retargeting
LOG_000194,69316,2025-02-10 22:13:39,Referral,Brand Awareness
LOG_000195,85470,2025-02-11 22:42:42,Direct Traffic,Organic_Direct
LOG_000196,32424,2025-02-10 01:27:30,Search Ads,Brand Awareness
LOG_000197,95665,2025-02-11 17:01:15,Social Media,Brand Awareness
LOG_000198,10255,2025-02-10 01:10:54,Social Media,New Product Launch
LOG_000199,49673,2025-02-11 00:35:20,Search Ads,Winter Sale
LOG_000200,67175,2025-02-10 13:06:11,Referral,Brand Awareness
LOG_000201,26693,2025-02-10 18:50:11,Social Media,New Product Launch
LOG_000202,69421,2025-02-11 13:01:33,Email,Brand Awareness
LOG_000203,24765,2025-02-10 23:17:02,Display Ads,New Product Launch
LOG_000204,28144,2025-02-10 17:52:56,Display Ads,Retargeting
LOG_000205,57669,2025-02-10 14:09:26,Direct Traffic,Organic_Direct
LOG_000206,62225,2025-02-10 17:08:00,Direct Traffic,Organic_Direct
LOG_000207,38683,2025-02-11 04:02:24,Search Ads,Brand Awareness
LOG_000208,32344,2025-02-10 19:33:25,Referral,Winter Sale
LOG_000209,62422,2025-02-11 20:50:32,Direct Traffic,Organic_Direct
LOG_000210,31278,2025-02-11 21:42:39,Search Ads,Organic_Direct
LOG_000211,79091,2025-02-11 12:42:05,Email,Organic_Direct
LOG_000212,25105,2025-02-11 02:44:01,Email,New Product Launch
LOG_000213,46221,2025-02-11 12:50:52,Search Ads,Winter Sale
LOG_000214,68891,2025-02-10 11:13:58,Referral,Brand Awareness
LOG_000215,54874,2025-02-10 00:18:47,Email,Retargeting
LOG_000216,38822,2025-02-11 23:09:04,Direct Traffic,Organic_Direct
LOG_000217,67860,2025-02-11 21:55:04,Referral,Winter Sale
LOG_000218,29015,2025-02-10 23:11:28,Email,Winter Sale
LOG_000219,33189,2025-02-10 21:59:19,Referral,Discount Offer
LOG_000220,27470,2025-02-10 03:00:55,Referral,Brand Awareness
LOG_000221,74300,2025-02-11 22:48:08,Display Ads,New Product Launch
LOG_000222,71932,2025-02-10 06:03:41,Social Media,Organic_Direct
LOG_000223,37659,2025-02-10 08:16:11,Email,Winter Sale
LOG_000224,97706,2025-02-10 02:18:13,Search Ads,Discount Offer
LOG_000225,80739,2025-02-10 11:08:08,Referral,Organic_Direct
LOG_000226,72532,2025-02-10 03:21:09,Display Ads,Organic_Direct
LOG_000227,41901,2025-02-11 12:05:24,Display Ads,New Product Launch
LOG_000228,76065,2025-02-10 05:50:41,Referral,Brand Awareness
LOG_000229,62298,2025-02-11 04:42:25,Email,Organic_Direct
LOG_000230,97844,2025-02-10 21:30:25,Display Ads,Discount Offer
LOG_000231,34218,2025-02-10 14:43:41,Display Ads,New Product Launch
LOG_000232,89800,2025-02-10 05:04:29,Email,Brand Awareness
LOG_000233,34943,2025-02-11 10:17:21,Direct Traffic,Organic_Direct
LOG_000234,15640,2025-02-11 02:22:41,Referral,Winter Sale
LOG_000235,43603,2025-02-11 20:20:22,Email,New Product Launch
LOG_000236,41941,2025-02-11 00:42:19,Direct Traffic,Organic_Direct
LOG_000237,28297,2025-02-10 08:17:27,Referral,Brand Awareness
LOG_000238,64781,2025-02-11 10:51:11,Referral,Brand Awareness
LOG_000239,79163,2025-02-11 16:34:47,Social Media,Brand Awareness
LOG_000240,76743,2025-02-10 02:09:43,Direct Traffic,Organic_Direct
LOG_000241,40517,2025-02-11 19:12:45,Direct Traffic,Organic_Direct
LOG_000242,98418,2025-02-11 10:14:49,Search Ads,Brand Awareness
LOG_000243,76066,2025-02-11 14:53:27,Social Media,New Product Launch
LOG_000244,65966,2025-02-10 20:56:41,Social Media,Winter Sale
LOG_000245,16083,2025-02-10 10:06:59,Display Ads,Organic_Direct
LOG_000246,25845,2025-02-11 02:58:54,Email,Organic_Direct
LOG_000247,64032,2025-02-11 00:24:57,Email,Organic_Direct
LOG_000248,52260,2025-02-10 12:50:11,Search Ads,Brand Awareness
LOG_000249,84395,2025-02-10 22:21:15,Social Media,Brand Awareness
LOG_000250,35789,2025-02-10 10:44:31,Direct Traffic,Organic_Direct
LOG_000251,72415,2025-02-11 12:53:20,Direct Traffic,Organic_Direct
LOG_000252,72077,2025-02-10 17:43:00,Email,Organic_Direct
LOG_000253,86824,2025-02-11 09:21:05,Social Media,New Product Launch
LOG_000254,54070,2025-02-11 11:01:48,Search Ads,Retargeting
LOG_000255,91093,2025-02-11 15:57:33,Social Media,Retargeting
LOG_000256,50176,2025-02-10 18:08:48,Display Ads,New Product Launch
LOG_000257,37916,2025-02-11 00:29:35,Search Ads,Discount Offer
LOG_000258,70222,2025-02-11 18:48:31,Search Ads,Brand Awareness
LOG_000259,55513,2025-02-10 18:48:51,Direct Traffic,Organic_Direct
LOG_000260,41115,2025-02-11 10:54:58,Referral,Discount Offer
LOG_000261,37591,2025-02-10 11:25:26,Social Media,Organic_Direct
LOG_000262,64747,2025-02-11 19:28:35,Search Ads,Discount Offer
LOG_000263,11741,2025-02-10 23:08:27,Display Ads,Discount Offer
LOG_000264,64742,2025-02-10 05:31:52,Referral,Brand Awareness
LOG_000265,27814,2025-02-11 19:32:41,Referral,Winter Sale
LOG_000266,86886,2025-02-10 03:11:30,Display Ads,Organic_Direct
LOG_000267,62107,2025-02-11 09:05:59,Direct Traffic,Organic_Direct
LOG_000268,33292,2025-02-10 21:20:04,Search Ads,Brand Awareness
LOG_000269,22943,2025-02-10 20:48:55,Referral,Winter Sale
LOG_000270,69192,2025-02-11 07:01:52,Social Media,Retargeting
LOG_000271,96142,2025-02-10 20:29:56,Search Ads,Winter Sale
LOG_000272,11661,2025-02-11 22:42:16,Display Ads,Brand Awareness
LOG_000273,85049,2025-02-10 15:54:07,Referral,Retargeting
LOG_000274,15259,2025-02-10 16:01:18,Direct Traffic,Organic_Direct
LOG_000275,33255,2025-02-10 22:58:23,Email,Brand Awareness
LOG_000276,67455,2025-02-10 15:58:31,Search Ads,New Product Launch
LOG_000277,79019,2025-02-11 22:39:00,Display Ads,Retargeting
LOG_000278,16255,2025-02-10 23:02:35,Social Media,Retargeting
LOG_000279,31185,2025-02-11 01:16:47,Search Ads,Winter Sale
LOG_000280,24014,2025-02-11 23:46:49,Email,Retargeting
LOG_000281,16814,2025-02-10 19:15:22,Display Ads,Brand Awareness
LOG_000282,35664,2025-02-10 05:30:12,Social Media,Winter Sale
LOG_000283,95461,2025-02-10 12:54:25,Search Ads,Discount Offer
LOG_000284,49375,2025-02-10 13:47:35,Social Media,Brand Awareness
LOG_000285,35887,2025-02-10 15:59:57,Search Ads,New Product Launch
LOG_000286,80259,2025-02-10 16:50:29,Direct Traffic,Organic_Direct
LOG_000287,26511,2025-02-10 20:05:37,Direct Traffic,Organic_Direct
LOG_000288,97446,2025-02-10 20:35:54,Display Ads,Winter Sale
LOG_000289,22863,2025-02-11 00:23:20,Social Media,Brand Awareness
LOG_000290,17784,2025-02-10 09:53:30,Email,Discount Offer
LOG_000291,12275,2025-02-11 01:57:29,Email,Discount Offer
LOG_000292,99782,2025-02-10 18:55:01,Search Ads,New Product Launch
LOG_000293,65082,2025-02-10 17:15:14,Referral,Brand Awareness
LOG_000294,62061,2025-02-11 18:51:56,Email,New Product Launch
LOG_000295,85426,2025-02-11 12:37:28,Display Ads,Organic_Direct
LOG_000296,86085,2025-02-10 07:19:39,Search Ads,Discount Offer
LOG_000297,60022,2025-02-11 08:24:05,Direct Traffic,Organic_Direct
LOG_000298,52397,2025-02-10 05:23:39,Search Ads,Winter Sale
LOG_000299,12755,2025-02-11 16:54:18,Email,Discount Offer
LOG_000300,78560,2025-02-10 07:58:09,Search Ads,Retargeting
LOG_000301,38252,2025-02-11 12:29:26,Referral,Discount Offer
LOG_000302,29719,2025-02-10 15:45:10,Social Media,Brand Awareness
LOG_000303,23415,2025-02-10 02:47:31,Email,Organic_Direct
LOG_000304,90548,2025-02-11 00:23:48,Direct Traffic,Organic_Direct
LOG_000305,98152,2025-02-11 20:36:19,Social Media,Retargeting
LOG_000306,73373,2025-02-11 00:17:59,Display Ads,Discount Offer
LOG_000307,48639,2025-02-11 23:22:49,Email,New Product Launch
LOG_000308,62843,2025-02-11 23:37:01,Display Ads,Brand Awareness
LOG_000309,51664,2025-02-11 19:00:01,Social Media,Organic_Direct
LOG_000310,58703,2025-02-11 00:58:01,Direct Traffic,Organic_Direct
LOG_000311,24215,2025-02-11 22:05:57,Search Ads,Brand Awareness
LOG_000312,45575,2025-02-11 15:08:18,Display Ads,Organic_Direct
LOG_000313,34498,2025-02-11 14:25:28,Display Ads,Discount Offer
LOG_000314,77091,2025-02-11 14:22:22,Display Ads,Brand Awareness
LOG_000315,15233,2025-02-10 11:19:05,Search Ads,Organic_Direct
LOG_000316,22741,2025-02-10 13:15:41,Email,Discount Offer
LOG_000317,77184,2025-02-11 07:44:07,Display Ads,Discount Offer
LOG_000318,51068,2025-02-10 19:43:05,Social Media,New Product Launch
LOG_000319,44397,2025-02-10 11:03:25,Social Media,Retargeting
LOG_000320,21910,2025-02-11 21:08:42,Referral,Organic_Direct
LOG_000321,57372,2025-02-11 13:58:45,Social Media,Organic_Direct
LOG_000322,19385,2025-02-10 09:34:30,Referral,New Product Launch
LOG_000323,90632,2025-02-10 18:41:16,Search Ads,New Product Launch
LOG_000324,79192,2025-02-10 23:30:42,Referral,New Product Launch
LOG_000325,37386,2025-02-11 19:56:31,Direct Traffic,Organic_Direct
LOG_000326,85049,2025-02-11 21:08:34,Search Ads,Brand Awareness
LOG_000327,75328,2025-02-11 17:33:26,Social Media,Retargeting
LOG_000328,39158,2025-02-10 16:51:40,Social Media,Retargeting
LOG_000329,55745,2025-02-10 10:16:21,Referral,Brand Awareness
LOG_000330,84203,2025-02-10 17:54:22,Social Media,Organic_Direct
LOG_000331,40965,2025-02-11 17:37:44,Email,Retargeting
LOG_000332,95461,2025-02-10 20:32:39,Referral,Winter Sale
LOG_000333,85486,2025-02-10 13:01:00,Social Media,Brand Awareness
LOG_000334,22773,2025-02-10 13:43:51,Social Media,Discount Offer
LOG_000335,91904,2025-02-10 06:04:14,Email,Organic_Direct
LOG_000336,25246,2025-02-11 13:24:14,Referral,Organic_Direct
LOG_000337,54106,2025-02-10 10:39:04,Social Media,Brand Awareness
LOG_000338,11741,2025-02-11 12:51:55,Referral,Discount Offer
LOG_000339,10442,2025-02-10 19:54:14,Search Ads,Winter Sale
LOG_000340,15891,2025-02-11 23:45:00,Direct Traffic,Organic_Direct
LOG_000341,26541,2025-02-11 15:53:39,Email,Discount Offer
LOG_000342,46911,2025-02-10 21:47:23,Search Ads,Brand Awareness
LOG_000343,96598,2025-02-10 02:05:19,Search Ads,Organic_Direct
LOG_000344,72959,2025-02-10 20:08:09,Direct Traffic,Organic_Direct
LOG_000345,54070,2025-02-11 22:28:14,Direct Traffic,Organic_Direct
LOG_000346,65082,2025-02-11 05:01:15,Direct Traffic,Organic_Direct
LOG_000347,52320,2025-02-11 22:04:56,Search Ads,Discount Offer
LOG_000348,75095,2025-02-11 17:13:08,Social Media,Retargeting
LOG_000349,11831,2025-02-10 13:11:24,Social Media,Discount Offer
LOG_000350,37382,2025-02-10 10:14:45,Display Ads,Retargeting
LOG_000351,45750,2025-02-10 10:13:23,Display Ads,Brand Awareness
LOG_000352,18298,2025-02-10 23:36:37,Search Ads,Brand Awareness
LOG_000353,47795,2025-02-11 14:49:50,Social Media,Winter Sale
LOG_000354,72028,2025-02-10 06:52:36,Social Media,Brand Awareness
LOG_000355,85844,2025-02-11 02:33:32,Display Ads,Winter Sale
LOG_000356,34498,2025-02-10 11:52:29,Referral,Brand Awareness
LOG_000357,23781,2025-02-10 23:34:42,Social Media,Winter Sale
LOG_000358,53293,2025-02-11 14:39:34,Direct Traffic,Organic_Direct
LOG_000359,35006,2025-02-11 19:52:27,Direct Traffic,Organic_Direct
LOG_000360,64767,2025-02-10 23:08:12,Social Media,Winter Sale
LOG_000361,40517,2025-02-11 05:27:52,Display Ads,Brand Awareness
LOG_000362,50839,2025-02-10 04:34:13,Referral,Discount Offer
LOG_000363,37121,2025-02-10 23:04:44,Social Media,Discount Offer
LOG_000364,72095,2025-02-11 03:45:27,Social Media,Winter Sale
LOG_000365,27371,2025-02-10 15:45:58,Email,Retargeting
LOG_000366,99093,2025-02-11 10:46:48,Direct Traffic,Organic_Direct
LOG_000367,38468,2025-02-10 16:36:08,Direct Traffic,Organic_Direct
LOG_000368,77184,2025-02-11 03:02:45,Referral,Retargeting
LOG_000369,35409,2025-02-11 04:15:45,Email,Winter Sale
LOG_000370,57564,2025-02-10 08:20:50,Direct Traffic,Organic_Direct
LOG_000371,50653,2025-02-10 01:05:44,Direct Traffic,Organic_Direct
LOG_000372,58748,2025-02-10 21:08:08,Referral,Organic_Direct
LOG_000373,80527,2025-02-11 04:01:53,Social Media,Organic_Direct
LOG_000374,65871,2025-02-11 02:24:12,Referral,Winter Sale
LOG_000375,24876,2025-02-10 14:39:20,Search Ads,Brand Awareness
LOG_000376,76689,2025-02-11 06:10:09,Display Ads,Organic_Direct
LOG_000377,30460,2025-02-10 19:30:13,Search Ads,Organic_Direct
LOG_000378,33843,2025-02-11 21:25:53,Referral,New Product Launch
LOG_000379,84413,2025-02-10 13:21:35,Direct Traffic,Organic_Direct
LOG_000380,46977,2025-02-11 04:20:03,Referral,Brand Awareness
LOG_000381,79181,2025-02-10 08:13:16,Email,Organic_Direct
LOG_000382,24594,2025-02-10 06:44:57,Email,Retargeting
LOG_000383,75841,2025-02-11 12:29:10,Display Ads,Organic_Direct
LOG_000384,78381,2025-02-10 05:51:59,Direct Traffic,Organic_Direct
LOG_000385,14476,2025-02-11 00:36:43,Direct Traffic,Organic_Direct
LOG_000386,92673,2025-02-11 16:09:47,Social Media,Retargeting
LOG_000387,61368,2025-02-11 06:17:09,Social Media,Discount Offer
LOG_000388,70850,2025-02-11 18:55:18,Display Ads,Organic_Direct
LOG_000389,27925,2025-02-10 01:27:13,Social Media,Organic_Direct
